go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0099503	secretory vesicle	cellular_component	5	920	271	34266	0.69	8.554e-01	9.453e-01		LOC120031186,LOC120048677,LOC120056477,snap91a,syngr3a
GO:0006650	glycerophospholipid metabolic process	biological_process	5	920	271	34266	0.69	8.554e-01	9.453e-01	Y	LOC120020464,LOC120028326,LOC120031120,LOC120034531,LOC120041464
GO:0003729	mRNA binding	molecular_function	9	920	450	34266	0.74	8.555e-01	9.453e-01		LOC120028545,LOC120030979,LOC120033308,LOC120036183,LOC120043430,LOC120049103,LOC120049361,LOC120049390,LOC120051433
GO:0016579	protein deubiquitination	biological_process	3	920	177	34266	0.63	8.572e-01	9.462e-01		LOC120031117,LOC120032422,LOC120037120
GO:0009967	positive regulation of signal transduction	biological_process	10	920	495	34266	0.75	8.579e-01	9.462e-01		LOC120031035,LOC120032389,LOC120032526,LOC120036053,LOC120037120,LOC120037504,LOC120042781,LOC120043471,LOC120047732,LOC120049292
GO:0016042	lipid catabolic process	biological_process	3	920	178	34266	0.63	8.598e-01	9.474e-01	Y	LOC120033335,LOC120041644,LOC120048861
GO:0098588	bounding membrane of organelle	cellular_component	20	920	921	34266	0.81	8.616e-01	9.484e-01		LOC120019732,LOC120024345,LOC120025214,LOC120030876,LOC120031319,LOC120031696,LOC120031991,LOC120032001,LOC120032389,LOC120032511,LOC120034066,LOC120042735,LOC120042780,LOC120043705,LOC120047812,LOC120048691,LOC120052417,LOC120056477,LOC120056951,syngr3a
GO:0005635	nuclear envelope	cellular_component	3	920	179	34266	0.62	8.623e-01	9.484e-01		LOC120029158,LOC120063956,tpra
GO:0072521	purine-containing compound metabolic process	biological_process	9	920	455	34266	0.74	8.638e-01	9.492e-01		LOC120028888,LOC120031336,LOC120031389,LOC120033928,LOC120034662,LOC120036192,LOC120048719,LOC120051245,LOC120053338
GO:0030334	regulation of cell migration	biological_process	6	920	324	34266	0.69	8.694e-01	9.539e-01		LOC120023180,LOC120032526,LOC120041415,LOC120052295,LOC120065853,plxnb2a.3
GO:0048284	organelle fusion	biological_process	3	920	182	34266	0.61	8.697e-01	9.539e-01		LOC120031527,LOC120048677,LOC120048708
GO:0019725	cellular homeostasis	biological_process	7	920	371	34266	0.7	8.722e-01	9.558e-01		LOC120032125,LOC120034039,LOC120036150,LOC120038582,LOC120051648,slc24a5,slc39a13
GO:0043005	neuron projection	cellular_component	22	920	1015	34266	0.81	8.738e-01	9.567e-01		LOC120017751,LOC120017841,LOC120024345,LOC120028812,LOC120030794,LOC120031026,LOC120031527,LOC120032586,LOC120033625,LOC120034033,LOC120041392,LOC120041637,LOC120048723,LOC120049361,LOC120052410,LOC120056450,LOC120056459,LOC120056868,LOC120061633,apba2b,arhgap44a,slc8a2b
GO:0008234	cysteine-type peptidase activity	molecular_function	5	920	284	34266	0.66	8.812e-01	9.639e-01		LOC120028813,LOC120031117,LOC120032422,LOC120037120,LOC120048441
GO:0006974	DNA damage response	biological_process	9	920	468	34266	0.72	8.836e-01	9.657e-01		LOC120031034,LOC120032639,LOC120034065,LOC120034167,LOC120034187,LOC120035718,LOC120039710,LOC120039944,rad54b
GO:0019783	ubiquitin-like protein peptidase activity	molecular_function	3	920	189	34266	0.59	8.855e-01	9.669e-01		LOC120031117,LOC120032422,LOC120037120
GO:0051604	protein maturation	biological_process	7	920	381	34266	0.68	8.883e-01	9.690e-01		LOC120031284,LOC120032387,LOC120033009,LOC120034803,LOC120037627,LOC120046306,LOC120050580
GO:0008654	phospholipid biosynthetic process	biological_process	3	920	191	34266	0.59	8.897e-01	9.697e-01	Y	LOC120020464,LOC120034531,LOC120041464
