go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0007155	cell adhesion	biological_process	6	91	996	34268	2.27	4.952e-02	1.351e-01		LOC120020307,LOC120025537,LOC120045058,LOC120054371,LOC120056781,LOC120066463
GO:1901701	cellular response to oxygen-containing compound	biological_process	3	91	310	34268	3.64	4.979e-02	1.351e-01	Y	LOC120028089,LOC120060868,cracr2b
GO:0005911	cell-cell junction	cellular_component	4	91	522	34268	2.89	5.057e-02	1.351e-01		LOC120019576,LOC120020307,LOC120056781,mpp6b
GO:0045937	positive regulation of phosphate metabolic process	biological_process	3	91	329	34268	3.43	5.748e-02	1.487e-01		LOC120053194,ptprc,sh2d3a
GO:0042327	positive regulation of phosphorylation	biological_process	3	91	329	34268	3.43	5.748e-02	1.487e-01		LOC120053194,ptprc,sh2d3a
GO:0007417	central nervous system development	biological_process	3	91	332	34268	3.4	5.875e-02	1.496e-01		LOC120020307,LOC120057339,LOC120066463
GO:0022603	regulation of anatomical structure morphogenesis	biological_process	3	91	340	34268	3.32	6.218e-02	1.559e-01		LOC120019576,LOC120020307,LOC120040412
GO:0141124	intracellular signaling cassette	biological_process	4	91	581	34268	2.59	6.925e-02	1.710e-01		LOC120030672,LOC120042766,LOC120065085,sh2d3a
GO:0048513	animal organ development	biological_process	5	91	840	34268	2.24	7.315e-02	1.773e-01		LOC120020307,LOC120028089,LOC120049548,LOC120057339,LOC120066463
GO:0036477	somatodendritic compartment	cellular_component	3	91	366	34268	3.09	7.397e-02	1.773e-01		LOC120062883,LOC120066718,cracr2b
GO:0098793	presynapse	cellular_component	3	91	369	34268	3.06	7.540e-02	1.781e-01		LOC120020198,LOC120020307,cracr2b
GO:0048731	system development	biological_process	8	91	1688	34268	1.78	7.969e-02	1.838e-01		LOC120020307,LOC120025537,LOC120028089,LOC120040412,LOC120049548,LOC120056781,LOC120057339,LOC120066463
GO:1901700	response to oxygen-containing compound	biological_process	3	91	379	34268	2.98	8.022e-02	1.838e-01	Y	LOC120028089,LOC120060868,cracr2b
GO:0005929	cilium	cellular_component	3	91	381	34268	2.97	8.120e-02	1.838e-01		LOC120036268,LOC120053598,LOC120056235
GO:0005856	cytoskeleton	cellular_component	8	91	1741	34268	1.73	9.133e-02	2.022e-01		LOC120019576,LOC120027905,LOC120032363,LOC120041588,LOC120053598,LOC120054371,LOC120056805,dnah2
GO:0008092	cytoskeletal protein binding	molecular_function	6	91	1172	34268	1.93	9.181e-02	2.022e-01	Y	LOC120019576,LOC120027905,LOC120032210,LOC120032363,LOC120036268,LOC120056805
